,avg_mstry,avg_onrle,avg_wr,avg_ws,result
0,-952334,-2,1.69,1,1.0
0,30599,0,-0.73,4,1.0
0,1428794,0,1.7,0,0.0
0,-551454,1,-0.04,2,0.0
0,963929,0,-0.55,2,0.0
0,-366353,1,9.84,-2,0.0
0,396211,-1,-5.76,0,1.0
0,306989,1,-3.79,1,0.0
0,-94039,-2,-4.21,0,0.0
0,1032448,-1,-1.45,1,1.0
0,455877,0,-6.39,3,1.0
0,456030,0,5.59,2,0.0
0,-324980,-1,1.21,1,0.0
0,-467707,-1,16.06,-1,1.0
0,429691,0,0.81,0,1.0
0,1754636,0,-4.8,-1,1.0
0,-407089,0,-7.38,0,1.0
0,1394549,0,-0.01,0,0.0
0,-332011,0,-2.75,-1,1.0
0,401915,1,2.73,2,1.0
0,-211902,-3,0.08,1,0.0
0,147474,1,15.5,0,1.0
0,-912158,-1,-0.29,0,0.0
0,108258,0,-10.53,-1,0.0
0,-200531,0,-3.83,1,1.0
0,-242747,0,2.0,-1,0.0
0,2186116,2,-8.51,-1,0.0
0,119517,3,0.82,0,1.0
0,-899725,-1,-3.5,0,0.0
0,42210,2,1.11,-1,0.0
0,1494179,-1,7.38,-1,1.0
0,978124,2,-0.43,1,1.0
0,-935890,-2,-7.18,1,0.0
0,1404975,1,-3.23,0,0.0
0,-274403,-2,-27.49,-2,0.0
0,169395,0,-2.76,1,0.0
0,-525839,0,1.17,0,1.0
0,627707,0,-1.42,0,1.0
0,-65932,1,1.65,0,0.0
