,GameId
0,4042298205
1,4042277516
2,4042294205
3,4042282328
4,4042240040
5,4042216952
6,4042250945
7,4042119668
8,4042089945
9,4042101939
10,4042046068
11,4042010329
12,4034319886
13,4034336597
14,4034325432
15,4034314147
16,4034330912
17,4034259436
18,4034275259
19,4034209374
20,4034003546
21,4033996804
22,4033185320
23,4033174220
24,4033132793
25,4032950248
26,4032938996
27,4032927080
28,4032933659
29,4032849392
30,4032841234
31,4032764402
32,4032698204
33,4032711076
34,4032609778
35,4032614302
36,4032539192
37,4032486984
38,4032459041
39,4032367901
40,4032351520
41,4032313622
42,4032275612
43,4032232908
44,4032225343
45,4032114606
46,4032111890
47,4032059275
48,4032066664
49,4032035666
50,4032033987
51,4032050996
52,4030218760
53,4030234058
54,4030197924
55,4030120166
56,4030112908
57,4030084075
58,4030038155
59,4030054314
60,4029988516
61,4029992395
62,4015801330
63,4012075528
64,4012080612
65,4012005152
66,4011965897
67,4011948363
68,4011912300
69,4011859761
70,4011864837
71,4011861134
72,4011836743
73,4011803615
74,4007105559
75,4007075063
76,4007072789
77,4007016931
78,4007013138
79,4006599639
80,4006605438
81,4006539998
82,4006526926
83,4006542224
84,4006507810
85,4006494757
86,4006387036
87,4006402530
88,4006390870
89,4006357717
90,4005483850
91,4005423639
92,4005369258
93,4005385156
94,4005351698
95,4003109132
96,4002852686
97,4002860622
98,4002840465
99,4002779336
100,4043757388
101,4043699271
102,4043696409
103,4043614543
104,4043550129
105,4043366663
106,4043161957
107,4042301686
108,4042240040
109,4042149017
110,4041908770
111,4041820852
112,4041721422
113,4041439203
114,4041434398
115,4041187357
116,4041026770
117,4040956902
118,4040158908
119,4040116245
120,4040132387
121,4039920791
122,4039843763
123,4039820140
124,4039836756
125,4039775392
126,4039717455
127,4039661549
128,4039634054
129,4039563608
130,4039509809
131,4039473943
132,4039401104
133,4039367343
134,4039339622
135,4039325724
136,4039143649
137,4039126501
138,4039124194
139,4039111226
140,4039059595
141,4038810171
142,4038788150
143,4038702112
144,4038675914
145,4037668172
146,4037647690
147,4037581885
148,4037267010
149,4037222370
150,4037204660
151,4037109332
152,4036804107
153,4036794013
154,4036772759
155,4036768933
156,4036768182
157,4036740260
158,4036738374
159,4036755934
160,4036764069
161,4036741362
162,4036699750
163,4036693073
164,4036681486
165,4036666356
166,4036576650
167,4036567334
168,4036541123
169,4036513331
170,4036415865
171,4036410942
172,4036337157
173,4036320889
174,4036293825
175,4036259362
176,4036127343
177,4036100329
178,4036114550
179,4036090717
180,4036056508
181,4036061939
182,4036040706
183,4035838760
184,4035846713
185,4035845948
186,4035853796
187,4035825334
188,4035815082
189,4035823305
190,4035831361
191,4035796842
192,4035782202
193,4035707852
194,4035643043
195,4035488811
196,4034722907
197,4034537023
198,4034513099
199,4034309643
200,4043677255
201,4043663606
202,4043600369
203,4043470537
204,4043422606
205,4042654637
206,4042531969
207,4042487344
208,4042304531
209,4042282005
210,4042240040
211,4041435025
212,4041420735
213,4041211576
214,4041178268
215,4041185942
216,4038233584
217,4038231791
218,4038189553
219,4037655494
220,4037644060
221,4037063363
222,4036999886
223,4036900141
224,4036915007
225,4036658760
226,4036665235
227,4036652178
228,4036589896
229,4036593905
230,4035671920
231,4035553204
232,4035400562
233,4035228290
234,4033979253
235,4033964049
236,4032931634
237,4032846428
238,4032595812
239,4031841677
240,4030650853
241,4030502400
242,4029575249
243,4029570735
244,4028345138
245,4028338969
246,4026125980
247,4026131898
248,4025974275
249,4025784759
250,4025563854
251,4025245397
252,4025231242
253,4024932497
254,4019871996
255,4019168235
256,4016955995
257,4016821967
258,4016375652
259,4014620616
260,4014337396
261,4014250255
262,4014224180
263,4012293921
264,4012262875
265,4011233239
266,4010944655
267,4010877927
268,4010890591
269,4010194795
270,4010185014
271,4010211535
272,4010191340
273,4009778329
274,4009554790
275,4009520084
276,4009468329
277,4009474354
278,4009240620
279,4009208416
280,4006099356
281,4004974904
282,4004503976
283,4004488279
284,4004094544
285,4004092396
286,4003872989
287,4002647690
288,4002541788
289,4002516273
290,4002492318
291,4001738870
292,4001713641
293,4001656290
294,4000608195
295,4000625929
296,3999720991
297,3996631399
298,3996608846
299,3996596190
300,4043894854
301,4043911884
302,4043699271
303,4043609344
304,4043595646
305,4043538644
306,4042617730
307,4042240040
308,4042236439
309,4042048588
310,4042014420
311,4041903570
312,4041836518
313,4041787748
314,4041474916
315,4041457719
316,4041188741
317,4041135419
318,4041108244
319,4041085254
320,4041048866
321,4041021629
322,4040995550
323,4040953518
324,4040885276
325,4040857513
326,4040833854
327,4040518706
328,4040492470
329,4040329175
330,4039520269
331,4039142156
332,4039128448
333,4038988253
334,4038947531
335,4038975272
336,4038944101
337,4038981628
338,4038910229
339,4038760388
340,4038755408
341,4038702078
342,4038675711
343,4038531971
344,4038457326
345,4038443720
346,4038398901
347,4038320582
348,4038254138
349,4037711673
350,4037233920
351,4037214611
352,4037181907
353,4037125036
354,4037108073
355,4037095221
356,4037080551
357,4037062733
358,4037018130
359,4036984789
360,4036846288
361,4036677130
362,4036669706
363,4036612924
364,4036533056
365,4036459588
366,4036433703
367,4036240021
368,4036223052
369,4034717804
370,4034679327
371,4034681903
372,4034592364
373,4034536870
374,4034350048
375,4034320331
376,4034347056
377,4034306836
378,4034282367
379,4034189390
380,4034180761
381,4034144067
382,4033633058
383,4033567389
384,4033504634
385,4033510872
386,4033476565
387,4033453125
388,4033435080
389,4033174593
390,4033124029
391,4032948989
392,4032673401
393,4032593017
394,4032534784
395,4032438738
396,4032450654
397,4032414973
398,4032365918
399,4032351993
400,4043713425
401,4043641594
402,4043597827
403,4042275969
404,4042263397
405,4042240040
406,4042237309
407,4042233842
408,4042169363
409,4041821180
410,4041785535
411,4041121750
412,4039768732
413,4039755360
414,4039739912
415,4039716141
416,4039296684
417,4039312683
418,4039199973
419,4039235371
420,4039212120
421,4038932430
422,4038858407
423,4038853494
424,4037533553
425,4036694370
426,4036691648
427,4036658062
428,4036407919
429,4036195439
430,4036171350
431,4035825223
432,4035815289
433,4035851166
434,4035832222
435,4035830847
436,4035701424
437,4035520257
438,4035237644
439,4034249419
440,4034206827
441,4034169705
442,4033841724
443,4033775165
444,4033585265
445,4033194669
446,4033193074
447,4033181052
448,4032736483
449,4032720222
450,4032706143
451,4032545784
452,4032242602
453,4031840726
454,4031806757
455,4031782603
456,4030876871
457,4030891834
458,4030708878
459,4030704456
460,4030529459
461,4029695983
462,4029675014
463,4029421024
